# Teledyne e2v CCD20120 quantum efficiency
# Digitized from data sheet
# Midband coating
lam,Q
283.261,0.093
325.162,0.149
347.624,0.201
358.855,0.237
373.542,0.308
395.14,0.488
410.691,0.594
425.378,0.666
449.568,0.766
474.622,0.851
490.173,0.895
507.451,0.925
529.914,0.951
565.335,0.961
592.117,0.961
607.667,0.956
637.041,0.941
669.006,0.918
691.469,0.892
712.203,0.864
732.073,0.83
761.447,0.776
793.413,0.697
822.786,0.609
851.296,0.524
877.214,0.432
900.54,0.357
920.41,0.29
939.417,0.234
968.79,0.154
1000.756,0.087
1050.432,0.028
1100,0
